;name;property;chosen;;
404;"Normalized positional residue frequency at helix termini N""' (Aurora-Rose, 1998)";helix;;;
405;"Normalized positional residue frequency at helix termini N"" (Aurora-Rose, 1998)";helix;;;
406;Normalized positional residue frequency at helix termini N'(Aurora-Rose, 1998);helix;;;
407;Normalized positional residue frequency at helix termini Nc (Aurora-Rose, 1998);helix;;;
408;Normalized positional residue frequency at helix termini N1 (Aurora-Rose, 1998);helix;;;
409;Normalized positional residue frequency at helix termini N2 (Aurora-Rose, 1998);helix;;;
410;Normalized positional residue frequency at helix termini N3 (Aurora-Rose, 1998);helix;;;
411;Normalized positional residue frequency at helix termini N4 (Aurora-Rose, 1998);helix;;;
412;Normalized positional residue frequency at helix termini N5 (Aurora-Rose, 1998);helix;;;
413;Normalized positional residue frequency at helix termini C5 (Aurora-Rose, 1998);helix;;;
414;Normalized positional residue frequency at helix termini C4 (Aurora-Rose, 1998);helix;;;
415;Normalized positional residue frequency at helix termini C3 (Aurora-Rose, 1998);helix;;;
416;Normalized positional residue frequency at helix termini C2 (Aurora-Rose, 1998);helix;;;
417;Normalized positional residue frequency at helix termini C1 (Aurora-Rose, 1998);helix;;;
418;Normalized positional residue frequency at helix termini Cc (Aurora-Rose, 1998);helix;;;
419;Normalized positional residue frequency at helix termini C' (Aurora-Rose, 1998);helix;;;
420;"Normalized positional residue frequency at helix termini C"" (Aurora-Rose, 1998)";helix;;;
421;"Normalized positional residue frequency at helix termini C""' (Aurora-Rose, 1998)";helix;;;
422;Normalized positional residue frequency at helix termini C4' (Aurora-Rose, 1998);helix;;;
423;Delta G values for the peptides extrapolated to 0 M urea (O'Neil-DeGrado, 1990);;;;
424;Helix formation parameters (delta delta G) (O'Neil-DeGrado, 1990);helix;;;
425;Normalized flexibility parameters (B-values), average (Vihinen et al., 1994);;;;
426;Normalized flexibility parameters (B-values) for each residue surrounded by none rigid neighbours (Vihinen et al., 1994);;;;
427;Normalized flexibility parameters (B-values) for each residue surrounded by one rigid neighbours (Vihinen et al., 1994);;;;
428;Normalized flexibility parameters (B-values) for each residue surrounded by two rigid neighbours (Vihinen et al., 1994);;;;
429;Free energy in alpha-helical conformation (Munoz-Serrano, 1994);helix;;;
430;Free energy in alpha-helical region (Munoz-Serrano, 1994);helix;;;
431;Free energy in beta-strand conformation (Munoz-Serrano, 1994);;;;
432;Free energy in beta-strand region (Munoz-Serrano, 1994);;;;
433;Free energy in beta-strand region (Munoz-Serrano, 1994);;;;
434;Free energies of transfer of AcWl-X-LL peptides from bilayer interface to water (Wimley-White, 1996);;;;
435;Thermodynamic beta sheet propensity (Kim-Berg, 1993);sheet;1;;
436;Turn propensity scale for transmembrane helices (Monne et al., 1999);helix;;;
437;Alpha helix propensity of position 44 in T4 lysozyme (Blaber et al., 1993);helix;;;
438;p-Values of mesophilic proteins based on the distributions of B values (Parthasarathy-Murthy, 2000);;;;
439;p-Values of thermophilic proteins based on the distributions of B values (Parthasarathy-Murthy, 2000);;;;
440;Distribution of amino acid residues in the 18 non-redundant families of thermophilic proteins (Kumar et al., 2000);;;;
441;Distribution of amino acid residues in the 18 non-redundant families of mesophilic proteins (Kumar et al., 2000);;;;
442;Distribution of amino acid residues in the alpha-helices in thermophilic proteins (Kumar et al., 2000);helix;;;
443;Distribution of amino acid residues in the alpha-helices in mesophilic proteins (Kumar et al., 2000);helix;;;
444;Side-chain contribution to protein stability (kJ/mol) (Takano-Yutani, 2001);;1;;
445;Propensity of amino acids within pi-helices (Fodje-Al-Karadaghi, 2002);helix;;;
446;Hydropathy scale based on self-information values in the two-state model (5% accessibility) (Naderi-Manesh et al., 2001);;;;
447;Hydropathy scale based on self-information values in the two-state model (9% accessibility) (Naderi-Manesh et al., 2001);;;;
448;Hydropathy scale based on self-information values in the two-state model (16% accessibility) (Naderi-Manesh et al., 2001);;;;
449;Hydropathy scale based on self-information values in the two-state model (20% accessibility) (Naderi-Manesh et al., 2001);;;;
450;Hydropathy scale based on self-information values in the two-state model (25% accessibility) (Naderi-Manesh et al., 2001);;;;
451;Hydropathy scale based on self-information values in the two-state model (36% accessibility) (Naderi-Manesh et al., 2001);;;;
452;Hydropathy scale based on self-information values in the two-state model (50% accessibility) (Naderi-Manesh et al., 2001);;;;
453;Averaged turn propensities in a transmembrane helix (Monne et al., 1999);helix;;;
454;Alpha-helix propensity derived from designed sequences (Koehl-Levitt, 1999);helix;;;
455;Beta-sheet propensity derived from designed sequences (Koehl-Levitt, 1999);sheet;;;
456;Composition of amino acids in extracellular proteins (percent) (Cedano et al., 1997);;;;
457;Composition of amino acids in anchored proteins (percent) (Cedano et al., 1997);;;;
458;Composition of amino acids in membrane proteins (percent) (Cedano et al., 1997);;;;
459;Composition of amino acids in intracellular proteins (percent) (Cedano et al., 1997);;;;
460;Composition of amino acids in nuclear proteins (percent) (Cedano et al., 1997);;;;
461;Surface composition of amino acids in intracellular proteins of thermophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
462;Surface composition of amino acids in intracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
463;Surface composition of amino acids in extracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
464;Surface composition of amino acids in nuclear proteins (percent) (Fukuchi-Nishikawa, 2001);;;;
465;Interior composition of amino acids in intracellular proteins of thermophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
466;Interior composition of amino acids in intracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
467;Interior composition of amino acids in extracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
468;Interior composition of amino acids in nuclear proteins (percent) (Fukuchi-Nishikawa, 2001);;;;
469;Entire chain composition of amino acids in intracellular proteins of thermophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
470;Entire chain composition of amino acids in intracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
471;Entire chain composition of amino acids in extracellular proteins of mesophiles (percent) (Fukuchi-Nishikawa, 2001);;;;
472;Entire chain compositino of amino acids in nuclear proteins (percent) (Fukuchi-Nishikawa, 2001);;;;
473;Screening coefficients gamma, local (Avbelj, 2000);;;;
474;Screening coefficients gamma, non-local (Avbelj, 2000);;;;
475;Slopes tripeptide, FDPB VFF neutral (Avbelj, 2000);;;;
476;Slopes tripeptides, LD VFF neutral (Avbelj, 2000);;;;
477;Slopes tripeptide, FDPB VFF noside (Avbelj, 2000);;;;
478;Slopes tripeptide FDPB VFF all (Avbelj, 2000);;;;
479;Slopes tripeptide FDPB PARSE neutral (Avbelj, 2000);;;;
480;Slopes dekapeptide, FDPB VFF neutral (Avbelj, 2000);;;;
481;Slopes proteins, FDPB VFF neutral (Avbelj, 2000);;;;
482;Side-chain conformation by gaussian evolutionary method (Yang et al., 2002);;;;
483;Amphiphilicity index (Mitaku et al., 2002);;;;
484;Volumes including the crystallographic waters using the ProtOr (Tsai et al., 1999);;;;
485;Volumes not including the crystallographic waters using the ProtOr (Tsai et al., 1999);;;;
486;Electron-ion interaction potential values (Cosic, 1994);;;;
487;Hydrophobicity scales (Ponnuswamy, 1993);hydrophobicity;;;
488;Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O (Wilce et al. 1995);hydrophobicity;;;
489;Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (Wilce et al. 1995);hydrophobicity;;;
490;Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O (Wilce et al. 1995);hydrophobicity;;;
491;Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O (Wilce et al. 1995);hydrophobicity;;;
492;Hydrophilicity scale (Kuhn et al., 1995);hydrophobicity;;;
493;Retention coefficient at pH 2 (Guo et al., 1986);;;;
494;Modified Kyte-Doolittle hydrophobicity scale (Juretic et al., 1998);hydrophobicity;1;;
495;Interactivity scale obtained from the contact matrix (Bastolla et al., 2005);;;;
496;Interactivity scale obtained by maximizing the mean of correlation coefficient over single-domain globular proteins (Bastolla et al., 2005);;;;
497;Interactivity scale obtained by maximizing the mean of correlation coefficient over pairs of sequences sharing the TIM barrel fold (Bastolla et al., 2005);;;;
498;Linker propensity index (Suyama-Ohara, 2003);;;;
499;Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases (Punta-Maritan, 2003);helix;;;
500;Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases (Punta-Maritan, 2003);helix;;;
501;Linker propensity from all dataset (George-Heringa, 2003);;;;
502;Linker propensity from 1-linker dataset (George-Heringa, 2003);;;;
503;Linker propensity from 2-linker dataset (George-Heringa, 2003);;;;
504;Linker propensity from 3-linker dataset (George-Heringa, 2003);;;;
505;Linker propensity from small dataset (linker length is less than six residues) (George-Heringa, 2003);;;;
506;Linker propensity from medium dataset (linker length is between six and 14 residues) (George-Heringa, 2003);;;;
507;Linker propensity from long dataset (linker length is greater than 14 residues) (George-Heringa, 2003);;;;
508;Linker propensity from helical (annotated by DSSP) dataset (George-Heringa, 2003);helix;;;
509;Linker propensity from non-helical (annotated by DSSP) dataset (George-Heringa, 2003);helix;;;
510;The stability scale from the knowledge-based atom-atom potential (Zhou-Zhou, 2004);;;;
511;The relative stability scale extracted from mutation experiments (Zhou-Zhou, 2004);;;;
512;Buriability (Zhou-Zhou, 2004);;1;;
513;Linker index (Bae et al., 2005);;;;
514;Mean volumes of residues buried in protein interiors (Harpaz et al., 1994);;;;
515;Average volumes of residues (Pontius et al., 1996);size;1;;
516;Hydrostatic pressure asymmetry index, PAI (Di Giulio, 2005);;;;
517;Hydrophobicity index (Wolfenden et al., 1979);hydrophobicity;;;
518;Average internal preferences (Olsen, 1980);;;;
519;Hydrophobicity-related index (Kidera et al., 1985);hydrophobicity;1;;
520;Apparent partition energies calculated from Wertz-Scheraga index (Guy, 1985);;;;
521;Apparent partition energies calculated from Robson-Osguthorpe index (Guy, 1985);;;;
522;Apparent partition energies calculated from Janin index (Guy, 1985);;;;
523;Apparent partition energies calculated from Chothia index (Guy, 1985);;;;
524;Hydropathies of amino acid side chains, neutral form (Roseman, 1988);;;;
525;Hydropathies of amino acid side chains, pi-values in pH 7.0 (Roseman, 1988);;;;
526;Weights from the IFH scale (Jacobs-White, 1989);;;;
527;Hydrophobicity index, 3.0 pH (Cowan-Whittaker, 1990);hydrophobicity;;;
528;Scaled side chain hydrophobicity values (Black-Mould, 1991);hydrophobicity;1;;
529;Hydrophobicity scale from native protein structures (Casari-Sippl, 1992);hydrophobicity;1;;
530;NNEIG index (Cornette et al., 1987);;;;
531;SWEIG index (Cornette et al., 1987);;;;
532;PRIFT index (Cornette et al., 1987);;;;
533;PRILS index (Cornette et al., 1987);;;;
534;ALTFT index (Cornette et al., 1987);;;;
535;ALTLS index (Cornette et al., 1987);;;;
536;TOTFT index (Cornette et al., 1987);;;;
537;TOTLS index (Cornette et al., 1987);;;;
538;Relative partition energies derived by the Bethe approximation (Miyazawa-Jernigan, 1999);;;;
539;Optimized relative partition energies - method A (Miyazawa-Jernigan, 1999);;;;
540;Optimized relative partition energies - method B (Miyazawa-Jernigan, 1999);;;;
541;Optimized relative partition energies - method C (Miyazawa-Jernigan, 1999);;;;
542;Optimized relative partition energies - method D (Miyazawa-Jernigan, 1999);;;;
543;Hydrophobicity index (Engelman et al., 1986);hydrophobicity;1;;
544;Hydrophobicity index (Fasman, 1989);hydrophobicity;1;;
